,Best Seller Ranking,Brand,Series,Model,Color,Operating System,CPU,Screen,Memory,Storage,Graphics Card,Video Memory,Dimensions (W x D x H),Weight,CPU Type,CPU Speed,Turbo Frequency,Number of Cores,CPU L3 Cache,Screen Size,Touchscreen,Wide Screen Support,Display Type,Resolution,Panel,LCD Features,GPU/VPU,Graphic Type,SSD,Memory Spec,Memory Slot (Total),Memory Slot (Available),Optical Drive Type,WLAN,WiFi Generation,Bluetooth,USB,HDMI,Keyboard,Backlit Keyboard,Webcam,Card Reader,Style,Type,Usage,Battery,Battery Life,Package Content,Date First Available,Price,Part Number,HDD,Memory Speed,Other Features,Core Name,Storage Spec,Max Memory Supported,Optical Drive Spec,Thunderbolt,Audio Ports,Touchpad,AC Adapter,Consumer Alert,Color Gamut,Audio,Memory Type,LAN,Ethernet,Speaker,Bezel Design,Chipset,Software Included,HDD RPM,HDD Interface,CPU Support,Video Port,Package Type,Other port,CPU L2 Cache,Refresh Rate,Virtual Reality Ready,Pointing Stick,Thunderbolt 3,Optical Drive,Tech,Smart Cache,Communication,Optical Drive Interface,Card slot
"MSI Laptop Creator 17 B11UE-471 Intel Core i7 11th Gen 11800H (2.30GHz) 16GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 3060 Laptop GPU 17.3"" 4K / UHD Windows 10 Home 64-bit",,MSI,,Creator 17 B11UE-471,Core Black,Windows 10 Home 64-bit,Intel Core i7-11800H 2.30 GHz,"17.3"" 4K/UHD 120 Hz",16GB,512 GB NVMe SSD,NVIDIA GeForce RTX 3060 Laptop GPU,6GB,"15.59"" x 10.21"" x 0.80""",5.40 lbs.,Intel Core i7 11th Gen,11800H (2.30GHz),Up to 4.60 GHz,8-core Processor,24 MB,"17.3"" 4K / UHD",No,Yes,,3840 x 2160,,120 Hz 100% Adobe RGB,NVIDIA GeForce RTX 3060 Laptop GPU,Dedicated Card,512 GB NVMe,8 GB x 2,2,0,No,Killer WiFi 6E AX1675 (2x2),Wi-Fi 6E,Bluetooth 5.2,1 x USB 3.2 Gen 2 Type-C2 x USB 3.2 Gen 2 Type-A,1 x HDMI (8K @ 60Hz),White backlight keyboard (102 Key),Backlit,IR 720p HD Webcam,SD UHS-III,Thin and Light,Content Creation,Business,4 cell (99.9Whr) Li-Polymer,,,"September 20, 2021","2    1,891.32
Name: 48, dtype: object",,,DDR4 3200,,Tiger Lake,,64 GB,,1 x Thunderbolt 4,Mic-in/Headphone-out Combo,Silky Glass Multi Touch with Stand Alone Finger print reader,230W Slim,,100% Adobe RGB,,,INTEL/I225-V (SLN9D),1 x RJ-45 (2.5Gbps),Speakers 2W x 2,,Intel HM570,,,,,,,,,,,,,,,,,,
"ASUS Laptop L410 Ultra Thin Laptop, 14"" FHD Display, Intel Celeron N4020 Processor, 4 GB RAM, 64 GB Storage, NumberPad, Windows 10 Home in S Mode, Star Black, L410MA-DB02",#5 in Laptops / Notebooks,ASUS,,L410MA-DB02,Star Black (Plastic),Windows 10 in S mode,Intel Celeron N4020 1.10 GHz,"14"" FHD",4GB,64 GB eMMC,Intel UHD Graphics 600,Shared system memory,"12.80"" x 8.50"" x 0.71""-0.72""",2.87 lbs.,Intel Celeron,N4020 (1.10GHz),Up to 2.80 GHz,Dual-core Processor,,"14.0""",No,Yes,Full HD,1920 x 1080,,200 nitsAnti-glare display45% NTSC78% Screen-to-body ratio,Intel UHD Graphics 600,Integrated Card,64 GB eMMC,4 GB onboard,0,0,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 4.1 (Dual band) 1x1,1 x USB 2.0 Type-A1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C,1 x HDMI 1.4,Backlit Chiclet Keyboard,Backlit,"VGA camera, Without privacy shutter",Micro SD,Thin and Light,Home / Personal,Consumer,"42 WHrs, 3S1P, 3-cell Li-ion",,,"January 06, 2021","2    258.99
Name: 49, dtype: object",90NB0Q15-M05780,,,,,,,,,1 x 3.5mm Combo Audio Jack,,"33W AC AdapterOutput: 19V DC, 1.75A, 33WInput: 100-240V AC 50/60Hz universal",,45% NTSC,Built-in microphoneAudio by ICEpowerSonicMaster,,,,Built-in speaker,,,Microsoft 365 Personal 1-year included.**Activation required with 6-months of Windows activation date.,,,,,,,,,,,,,,,,,
"MSI Laptop Creator 17 B11UH-495 Intel Core i9 11th Gen 11900H (2.50GHz) 32GB Memory 2 TB NVMe SSD NVIDIA GeForce RTX 3080 Laptop GPU 17.3"" 4K / UHD Windows 10 Pro 64-bit",,MSI,,Creator 17 B11UH-495,Core Black,Windows 10 Pro 64-bit,Intel Core i9-11900H 2.50 GHz,"17.3"" 4K/UHD 120 Hz",32GB,2 TB NVMe SSD,NVIDIA GeForce RTX 3080 Laptop GPU,16GB,"15.59"" x 10.21"" x 0.80""",5.40 lbs.,Intel Core i9 11th Gen,11900H (2.50GHz),Up to 4.90 GHz,8-core Processor,24 MB,"17.3"" 4K / UHD",No,Yes,,3840 x 2160,,120 Hz 100% Adobe RGB,NVIDIA GeForce RTX 3080 Laptop GPU,Dedicated Card,2 TB NVMe,16 GB x 2,2,0,No,Killer WiFi 6E AX1675 (2x2),Wi-Fi 6E,Bluetooth 5.2,1 x USB 3.2 Gen 2 Type-C2 x USB 3.2 Gen 2 Type-A,1 x HDMI (8K @ 60Hz),White backlight keyboard (102 Key),Backlit,IR 720p HD Webcam,SD UHS-III,Thin and Light,Content Creation,Business,4 cell (99.9Whr) Li-Polymer,,,"November 02, 2021","2    3,349.00
Name: 50, dtype: object",,,DDR4 3200,,Tiger Lake,,64 GB,,1 x Thunderbolt 4,Mic-in/Headphone-out Combo,Silky Glass Multi Touch with Stand Alone Finger print reader,230W Slim,,100% Adobe RGB,,,INTEL/I225-V (SLN9D),,Speakers 2W x 2,,Intel HM570,,,,,,,,,,,,,,,,,,
"Toshiba Dynabook Tecra A40-G Intel Celeron Processor 5205U 1.90 GHz, 14.0"" HD, 4 GB DDR4, 128 GB PCIe NVMe, Intel UHD Graphics, 802.11ax Wireless, Bluetooth, Windows 10 Pro Education",,TOSHIBA,Dynabook,Tecra A40-G,Graphite Black,Windows 10 Pro,Intel Celeron 5205U 2 Core Processor 1.9 GHz,,4GB,,Intel UHD Graphics,Shared system memory,"13.0"" x 9.0"" x 0.78""",3.24 lbs.,Intel Celeron,5205U (1.90GHz),,Dual-core Processor,2 MB,"14.0""",No,Yes,HD,1366 x 768,,,Intel HD Graphics,Integrated Card,128 GB PCIe,,,1,No,802.11ax  Wireless LAN,Wi-Fi 6,Yes,1 x USB 3.1 Gen 1 Type-C / 2 x USB 3.0,1 x HDMI,U.S. English KeyboardSpill-Resistand Keyboard,Non-backlit,Webcam with TruTalk Dual Microphones,Micro SD,Thin and Light,Everyday Value,Consumer,4-cell Lithium Ion,Up to 12.5 Hours,,"January 04, 2021","2    299.99
Name: 51, dtype: object",PMZ20U-00801H,,DDR4 2400,,,128 GB PCIe Hard Drive,4 GB,Not Included,,1 x Headphone/Microphone Combo Jack,Synaptics ClickPad multi-touch touch pad,45W 100-240V/50-60Hz AC Adapter,,,,,Intel Ethernet Connection I219 Family,1 x RJ-45,Stereo Speakers with DTS Audio Processing,,,Dynabook Service Station1 month trial for new Microsoft Office 365 customers,,,,,,,,,,,,,,,,,
"Lenovo Laptop ThinkBook 15 G2 ITL 20VE003GUS Intel Core i5 11th Gen 1135G7 (2.40GHz) 8GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 15.6"" Windows 10 Pro 64-bit",#29 in Laptops / Notebooks,Lenovo,ThinkBook 15 G2 ITL,20VE003GUS,Mineral Grey,Windows 10 Pro 64-bit,Intel Core i5-1135G7 2.40 GHz,"15.6"" IPS",8GB,256 GB SSD M.2 2242 PCIe 3.0x4 NVMe + Empty HDD Bay,Intel Iris Xe Graphics,Shared system memory,"14.10"" x 9.25"" x 0.74""",3.75 lbs.,Intel Core i5 11th Gen,1135G7 (2.40GHz),Up to 4.20 GHz,Quad-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,IPS,IPS 250 nits Anti-glare,Intel Iris Xe Graphics,Integrated Card,256 GB PCIe,8 GB onboard,1,1,No,"Intel AX201 802.11ax, 2x2",Wi-Fi 6,Bluetooth 5.1,"2 x USB 3.2 Gen 1 (1 with Always On)1 x USB 3.2 Gen 2 Type-C (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",1 x HDMI 1.4b,"Backlit, English (US)",Backlit,720p with ThinkShutter,4-in-1 Card Reader,Thin and Light,Mainstream,Business,Integrated 45Wh,MobileMark 2018: 6 hr (45Wh),,"April 06, 2022","2    759.99
Name: 52, dtype: object",,,DDR4 3200,Security Chip: Firmware TPM 2.0Fingerprint Reader: Touch Style,Tiger Lake,"256 GB SSD M.2 2242 PCIe 3.0x4 NVMe + Empty HDD BayStorage Support:HDD/SSD mode: up to two drives, 1x 2.5"" HDD + 1x M.2 2242/2280 SSD2.5"" HDD up to 2TBM.2 2280 SSD up to 1TBM.2 2242 SSD up to 512GB",40 GB (8 GB onboard + 32 GB x 1),,"1 x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",1 x headphone / microphone combo jack (3.5mm),,65W USB-C,,,"High Definition (HD) Audio, Realtek ALC3287 codecMicrophone: 2x, Array",,10/100/1000Mbps,1 x RJ-45 (1Gbps),"Stereo speakers, 2W x 2, Dolby Audio",,,,,,,,,,,,,,,,,,,,
"ASUS Laptop ZenBook UX482EAR-EB51T Intel Core i5 11th Gen 1155G7 (2.50 GHz) 8 GB LPDDR4X Memory 512 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Touchscreen Windows 10 Home 64-bit - Intel Evo Platform",,ASUS,ZenBook,UX482EAR-EB51T,Celestial Blue,Windows 10 Home 64-bit,Intel Core i5-1155G7 2.50 GHz,"14"" Touchscreen",8 GB LPDDR4X,512 GB PCIe SSD,Intel Iris Xe Graphics,Shared system memory,"12.76"" x 8.74"" x 0.67""-0.68""",3.46 lbs.,Intel Core i5 11th Gen,1155G7 (2.50GHz),,Quad-core Processor,8 MB,"14.0""",Yes,Yes,Full HD,1920 x 1080,,400 nits LED Back-lit-Narrow border,Intel Iris Xe Graphics,Integrated Card,512 GB PCIe,8 GB onboard,0,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.2 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A,1 x HDMI 1.4,Backlit Chiclet Keyboard,Backlit,HD camera with IR function to support Windows Hello,Micro SD,Thin and Light,Education / Home / Personal,Consumer,"70WHrs, 4S1P, 4-cell Li-ion",,,"October 13, 2021","2    1,072.99
Name: 53, dtype: object",90NB0S41-M05310,No,,,Tiger Lake,,,,2 x Thunderbolt 4 supports display / power delivery,1 x 3.5mm Combo Audio Jack,ScreenPad Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MSI Laptop Creator 17 B11UH-241 Intel Core i9 11th Gen 11900H (2.50GHz) 32GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 3080 Laptop GPU 17.3"" 4K / UHD Windows 10 Pro 64-bit",,MSI,,Creator 17 B11UH-241,Core Black,Windows 10 Pro 64-bit,Intel Core i9-11900H 2.50 GHz,"17.3"" 4K/UHD mini LED",32GB,1 TB NVMe SSD,NVIDIA GeForce RTX 3080 Laptop GPU,16GB,"15.59"" x 10.21"" x 0.80""",5.40 lbs.,Intel Core i9 11th Gen,11900H (2.50GHz),Up to 4.90 GHz,8-core Processor,24 MB,"17.3"" 4K / UHD",No,Yes,,3840 x 2160,,"HDR1000 mini LED, 1000 nits 60 Hz 100% DCI-P3 (259ppi) Anti-Glare Wide View Angle 4K",NVIDIA GeForce RTX 3080 Laptop GPU,Dedicated Card,1 TB NVMe,16 GB x 2,2,0,No,Killer WiFi 6E AX1675 (2x2),Wi-Fi 6E,Bluetooth 5.2,2 x USB 3.2 Gen 2 Type-A1 x USB 3.2 Gen 2 Type-C,1 x HDMI (8K @ 60Hz),White backlight keyboard (102 Key),Backlit,IR 720p HD Webcam,SD UHS-III,Thin and Light,Content Creation,Consumer,4 cell (99.9Whr) Li-Polymer,,,"October 20, 2021","2    3,199.00
Name: 54, dtype: object",,No,DDR4 3200,,Tiger Lake,,64 GB,,1 x Thunderbolt 4,Mic-in/Headphone-out Combo,Silky Glass Multi Touch with Stand Alone Finger print reader,230W Slim,,100% DCI-P3,,,INTEL/I225-V (SLN9D),,Speakers 2W x 2,,Intel HM570,,,,,,,,,,,,,,,,,,
"ASUS VivoBook Pro 14 OLED Slim Laptop, 14"" WQXGA+ 16:10 OLED Display, AMD Ryzen 7 5800H CPU, NVIDIA GeForce RTX 3050, 16GB RAM, 1TB SSD, Windows 11 Pro, Quiet Blue, M3401QC-EB74",#45 in Laptops / Notebooks,ASUS,VivoBook Pro,M3401QC-EB74,Quiet Blue,Windows 11 Pro 64-bit,AMD Ryzen 7 5800H 3.20 GHz,"14"" OLED 90 Hz",16GB,1 TB PCIe SSD,NVIDIA GeForce RTX 3050 Laptop GPU,4GB,"12.50"" x 9.00"" x 0.76""",3.09 lbs.,AMD Ryzen 7 5000 Series,5800H (3.20GHz),Up to 4.40 GHz,8-core Processor,16 MB,"14.0""",No,Yes,WQXGA+,2880 x 1800,OLED,"OLED, 16:10, Bend+400nits (HDR), Glare, 100% DCI-P3, 90Hz, Narrow border",NVIDIA GeForce RTX 3050 Laptop GPU,Dedicated Card,1 TB PCIe,16 GB onboard,0,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C2 x USB 2.0 Type-A,1 x HDMI 1.4,Backlit Chiclet Keyboard,Backlit,"720p HD camera, With privacy shutter",Micro SD,Standard,Content Creation / Home / Personal,Consumer,"63WHrs, 3S1P, 3-cell Li-ion",,Backpack,"December 09, 2021","2    1,199.99
Name: 55, dtype: object",90NB0VF2-M02220,No,,,,,,,,1 x 3.5mm Combo Audio Jack,NumberPad,,,100% DCI-P3,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop 17-cp0010nr AMD Athlon Silver 3050U (2.30GHz) 4GB Memory 256 GB PCIe SSD AMD Radeon Graphics 17.3"" Windows 10 in S mode",,HP,,17-cp0010nr,Top cover: Natural silverKeyboard deck: Natural silver with a vertical brushing pattern,Windows 10 in S mode,AMD Athlon Silver 3050U 2.30 GHz,"17.3""",4GB,256 GB PCIe NVMe M.2 SSD,AMD Radeon Graphics,Shared system memory,"15.78"" x 10.15"" x 0.78""",4.58 lbs.,AMD Athlon Silver,3050U (2.30GHz),,Dual-core Processor,4 MB,"17.3""",No,Yes,HD+,1600 x 900,,"BrightView, 250 nits, 60% NTSC",AMD Radeon Graphics,Integrated Card,256 GB PCIe,4 GB x 1,,2,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.2,1 x SuperSpeed USB Type-C 5Gbps signaling rate2 x SuperSpeed USB Type-A 5Gbps signaling rate,1 x HDMI 1.4b,"Full-size, natural silver keyboard with numeric keypad",Non-backlit,HP True Vision 720p HD camera with integrated dual array digital microphones,,Standard,Home / Personal,Consumer,"3-cell, 41 Wh Li-ion",Up to 8 hours and 30 minutes (video playback)Up to 7 hours and 45 minutes (wireless streaming),,"September 22, 2021","2    489.99
Name: 56, dtype: object",316R4UA#ABA,,DDR4 2400,,,256 GB SSD Hard Drive,8 GB,Not Included,,1 x Headphone/Microphone Combo Jack,HP Imagepad with multi-touch gesture support,45-watt AC Adapter,,60% NTSC,HD Audio with stereo speakers,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Laptop ThinkPad E14 20RA0051US Intel Core i3 10th Gen 10110U (2.10GHz) 4GB Memory 500GB HDD Intel UHD Graphics 14.0"" Windows 10 Pro 64-bit",,Lenovo,ThinkPad E14,20RA0051US,Black,Windows 10 Pro 64-bit,Intel Core i3-10110U 2.10 GHz,"14""",4GB,500 GB,Intel UHD Graphics,Shared system memory,"12.80"" x 9.13"" x 0.81""",3.90 lbs.,Intel Core i3 10th Gen,10110U (2.10GHz),,Dual-core Processor,4 MB,"14.0""",No,Yes,Full HD,1920 x 1080,TN,TN 220 nits Anti-glare,Intel UHD Graphics,Integrated Card,No,4 GB x 1,1,0,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 5.0,"2 x USB 3.1 Gen 1 Type-A (1 Always On)1 x USB 3.1 Gen 1 Type-C (support data transfer, Power Delivery and DisplayPort)1 x USB 2.0",1 x HDMI 1.4b,Standard,Non-backlit,720p without ThinkShutter,,Standard,Education / Home / Personal / Work / Business,Business,Integrated 45Wh,MobileMark 2014: 12.8 hr,,"August 10, 2021","2    574.99
Name: 57, dtype: object",20RA0051US-NW,500GB,DDR4 2666,Security Chip: Discrete TPM 2.0Mil-Spec Test: MIL-STD-810G military test passed,Comet Lake,"Storage Support:  Up to two drives, 1x 2.5"" HDD + 1x M.2 SSD2.5"" HDD up to 2TBM.2 2242 SSD up to 512GBM.2 2280 SSD up to 1TB",16 GB,Not Included,,1 x Headphone / microphone combo jack (3.5mm),,65W USB-C (2-pin),,,"High Definition (HD) Audio, Synaptic CX11880 codec",,10/100/1000Mbps,1 x RJ-45 (1Gbps),"Stereo speakers, 2W x2, Dolby Advanced Audio",,,,7200 RPM,SATA,,,,,,,,,,,,,,,
"ASUS VivoBook Pro 15 OLED Ultra Slim Laptop, 15.6"" FHD OLED Display, AMD Ryzen 7 5800H CPU, NVIDIA GeForce RTX 3050, 16GB RAM, 512GB SSD, Windows 10 Home, Quiet Blue, M3500QC-DB71",#21 in Laptops / Notebooks,ASUS,VivoBook Pro,M3500QC-DB71,Quiet Blue,Windows 10 Home 64-bit,AMD Ryzen 7 5800H 3.20 GHz,"15.6"" OLED",16GB,512 GB M.2 NVMe PCIe 3.0 SSD,NVIDIA GeForce RTX 3050 Laptop GPU,4GB,"14.17"" x 9.26"" x 0.77""",3.64 lbs.,AMD Ryzen 7 5000 Series,5800H (3.20GHz),Up to 4.40 GHz,8-core Processor,16 MB,"15.6""",No,Yes,Full HD,1920 x 1080,OLED,"OLED 400 nits, Glossy display, 100% DCI-P3, Pantone Validated",NVIDIA GeForce RTX 3050 Laptop GPU,Dedicated Card,512 GB PCIe,16 GB onboard,,,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 4.2 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C2 x USB 2.0 Type-A,1 x HDMI 1.4,Backlit Chiclet Keyboard with Num-key,Backlit,"720p HD camera, With privacy shutter",Micro SD,Standard,Content Creation / Home / Personal,,"63WHrs, 3S1P, 3-cell Li-ion",,,"November 08, 2021","2    1,094.99
Name: 58, dtype: object",90NB0UT2-M02440,No,,BIOS Booting User Password ProtectionTrusted Platform Module (Firmware TPM)Fingerprint sensor integrated with Power Key,,,,,,1 x 3.5mm Combo Audio Jack,,"120W AC AdapterOutput: 19V DC, 6.3A, 120WInput: 100~240V AC 50/60Hz universal",,100% DCI-P3,Built-in array microphoneharman/kardon (Mainstream),,,,Built-in speaker,,,,,,,,,,,,,,,,,,,,
"HP Laptop ProBook 440 G8 28K85UT#ABA Intel Core i5 11th Gen 1135G7 (2.40GHz) 8GB Memory 256 GB PCIe NVMe SSD Intel Iris Xe Graphics 14.0"" Windows 10 Pro 64-bit",#65 in Laptops / Notebooks,HP,ProBook 440 G8,28K85UT#ABA,Pike silver aluminum,Windows 10 Pro 64-bit,Intel Core i5-1135G7 2.40 GHz,"14"" IPS",8GB,256 GB PCIe NVMe SSD,Intel Iris Xe Graphics,Shared system memory,"12.67"" x 8.42"" x 0.78""",3.03 lbs.,Intel Core i5 11th Gen,1135G7 (2.40GHz),Up to 4.20 GHz,Quad-core Processor,8 MB,"14.0""",No,Yes,Full HD,1920 x 1080,IPS,"IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",Intel Iris Xe Graphics,Integrated Card,256 GB PCIe NVMe,8 GB x 1,2,1,No,Intel Wireless-AC 9560 802.11a/b/g/n/ac (2x2) Wi-Fi,Wi-Fi 5,Bluetooth 5.0,"3 x USB 3.1 Gen 1 (1 charging, 1 power)1 x USB 3.1 Gen 2 Type-C (USB Power Delivery, DisplayPort)",1 x HDMI 1.4b,"Spill-resistant, full-size, backlit keyboard",Backlit,720p HD camera,Micro SD,Standard,Work / Business,Business,"HP Long Life 3-cell, 45 Wh Li-ion",,,"January 14, 2021","2    859.99
Name: 59, dtype: object",,No,DDR4 3200,,Tiger Lake,,,,,1 x Headphone/Microphone Combo Jack,Clickpad with multi-touch gesture support,65-watt AC Adapter,,45% NTSC,"Dual stereo speakers, dual array microphone",,,1 x RJ-45,,,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook S15 S533 Thin and Light Laptop, 15.6"" FHD Display, Intel Core i7-1165G7 CPU, 16 GB DDR4 RAM, 512 GB PCIe SSD, Fingerprint Reader, Wi-Fi 6, Windows 10 Home, Dreamy White, S533EA-DH74-WH",#7 in Laptops / Notebooks,ASUS,VivoBook S15,S533EA-DH74-WH,Dreamy White (Aluminum),Windows 10 Home 64-bit,Intel Core i7-1165G7 2.80 GHz,"15.6"" IPS",16GB,512 GB M.2 NVMe PCIe 3.0 SSD,Intel Iris Xe Graphics,Shared system memory,"14.20"" x 9.20"" x 0.63""",3.97 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),Up to 4.70 GHz,Quad-core Processor,12 MB,"15.6""",No,Yes,Full HD,1920 x 1080,,"250 nits, Anti-glare display, 45% NTSC, IPS-level Panel",Intel Iris Xe Graphics,Integrated Card,512 GB PCIe,16 GB onboard,,,No,Intel Wi-Fi 6 (Gig+) (802.11ax),Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,2 x USB 2.0 Type-A1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C,1 x HDMI,Backlit Chiclet Keyboard with Num-key,Backlit,"720p HD camera, Without privacy shutter",Micro SD,Thin and Light,Home / Personal,Consumer,"50WHrs, 3S1P, 3-cell Li-ion",,,"January 05, 2021","2    859.99
Name: 60, dtype: object",90NB0SF4-M00430,,,Fingerprint reader,Tiger Lake,512 GB M.2 NVMe PCIe 3.0 SSD,,,,1 x 3.5mm Combo Audio Jack,,65-watt AC Adapter,,45% NTSC,,,,,Audio by ICEpowerBuilt-in speakerBuilt-in array microphoneHarman / kardon (Mainstream),,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook 17 K712EA Thin and Light Laptop, 17.3"" FHD Display, Intel Core i7-1165G7, 16GB DDR4 RAM, 1TB PCIe SSD, Windows 10 Home, Fingerprint, Transparent Silver, K712EA-DS76",#10 in Laptops / Notebooks,ASUS,VivoBook,K712EA-DS76,Transparent Silver,Windows 10 Home 64-bit,Intel Core i7-1165G7 2.80 GHz,"17.3""",16GB,1 TB PCIe SSD,Intel Iris Xe Graphics,Shared system memory,"16.00"" x 10.10"" x 0.80""",5.10 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),Up to 4.70 GHz,Quad-core Processor,12 MB,"17.3""",No,Yes,Full HD,1920 x 1080,,"250 nits, 45% NTSC, Anti-glare",Intel Iris Xe Graphics,Integrated Card,1 TB PCIe,8 GB onboard + 8 GB x 1,1,0,No,Wi-Fi 6 (802.11ax),Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,2 x USB 2.0 Type-A1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C,1 x HDMI 1.4,Backlit Chiclet Keyboard,Backlit,720p HD camera,Micro SD,Thin and Light,Home / Personal,Consumer,"48 WHrs, 3S1P, 3-cell Li-ion",,"Carry bag, Wired optical mouse, HDD housing","July 13, 2021","2    979.99
Name: 61, dtype: object",90NB0TW3-M02410,,,Fingerprint reader,Tiger Lake,,,,,1 x Headphone/Microphone Combo Jack,,,,45% NTSC,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop ProBook 450 G8 (Wolf Pro Security Edition) 4J214UT#ABA Intel Core i5 11th Gen 1135G7 (2.40GHz) 8GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 15.6"" Windows 10 Pro 64-bit",#81 in Laptops / Notebooks,HP,ProBook 450 G8 (Wolf Pro Security Edition),4J214UT#ABA,Pike silver aluminum,Windows 10 Pro 64-bit,Intel Core i5-1135G7 2.40 GHz,"15.6"" IPS",8GB,256 GB PCIe NVMe SSD,Intel Iris Xe Graphics,Shared system memory,"14.14"" x 9.20"" x 0.78""",3.83 lbs.,Intel Core i5 11th Gen,1135G7 (2.40GHz),,Quad-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,IPS,"IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",Intel Iris Xe Graphics,Integrated Card,256 GB PCIe,8 GB x 1,2,1,No,Intel Wireless-AC 9560 802.11a/b/g/n/ac (2x2) Wi-Fi,Wi-Fi 5,Bluetooth 5.0,"1 x SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4)3 x SuperSpeed USB Type-A 5Gbps signaling rate (1 charging, 1 power)",1 x HDMI 1.4b,"HP Premium Keyboard - spill-resistant, backlit keyboard with numeric keypad",Backlit,720p HD privacy camera,,Standard,Work / Business,Business,"HP Long Life 3-cell, 45 Wh Li-ion",Battery life up to 6 Hours,,"November 02, 2021","2    879.99
Name: 62, dtype: object",4J214UT#ABA-NW,No,DDR4 3200,,Tiger Lake,256 GB SSD Hard Drive,16 GB,Not Included,,1 x Headphone/Microphone Combo Jack,Clickpad with multi-touch gesture support,65-watt AC Adapter,,45% NTSC,"Dual stereo speakers, dual array microphone",,,1 x RJ-45,,,,HP Wolf Pro Security Edition (1 year),,,,,,,,,,,,,,,,,
"ASUS ZenBook 14 Ultra-Slim Laptop 14"" FHD Display, AMD Ryzen 9 5900HX CPU, AMD Radeon Graphics, 16GB RAM, 1TB PCIe SSD, NumberPad, Windows 11 Pro, Pine Grey, UM425QA-XH99",#77 in Laptops / Notebooks,ASUS,ZenBook,UM425QA-XH99,Pine Gray,Windows 11 Pro 64-bit,AMD Ryzen 9 5900HX 3.30 GHz,"14""",16GB,1 TB PCIe SSD,AMD Radeon Graphics,Shared system memory,"12.56"" x 8.27"" x 0.62""-0.66""",2.87 lbs.,AMD Ryzen 9 5000 Series,5900HX (3.30GHz),Up to 4.60 GHz,8-core Processor,16 MB,"14.0""",No,Yes,Full HD,1920 x 1080,,"16:9, 400nits, Anti-Glare, 100% sRGB, Wide View, Narrow border",AMD Radeon Graphics,Integrated Card,1 TB PCIe,16 GB onboard,0,0,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A2 x USB 3.2 Gen 2 Type-C,1 x HDMI 2.1,Backlit Chiclet Keyboard,Backlit,HD/IR+RGB,Micro SD,Thin and Light,Home / Personal,Consumer,"63WHrs, 3S1P, 3-cell Li-ion",,"Sleeve, USB-A to RJ45 gigabit ethernet adapter","December 09, 2021","2    1,099.99
Name: 63, dtype: object",90NB0TV1-M02980,No,,,,,,,,1 x 3.5mm Combo Audio Jack,NumberPad,,,100% sRGB,,,,,,,,,,,,,,,,,,,,,,,,,
